BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Total_delay_ms_Raw,Total_delay_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Raw,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,Total_duration_s,HasEventRace
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver core #_normalizeEntryData should support prefix of the entry name,16509,0.006830601092896175,4,0,10846.930169001222,0.35009472822814547,0,0,0,0,4,0,16.487,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver core #_normalizeEntryData should support special bits on unix,16504,0,4,0,5700.625625001267,0,0,0,0,0,4,0,13.334,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #abort should have a state of aborted,16554,0.06830601092896176,6,0.1,12241.028222998604,0.44493295149393214,0,0,0,0,6,0.023529411764705882,16.193,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append multiple entries,16604,0.1366120218579235,10,0.3,12588.469673002139,0.46856882826224283,0,0,0,0,12,0.09411764705882353,18.301,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append buffer,16609,0.14344262295081966,10,0.3,13105.20313699916,0.5037213654076285,0,0,0,0,12,0.09411764705882353,18.271,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append stream,16609,0.14344262295081966,10,0.3,13425.753845999017,0.5255279088003013,0,0,0,0,12,0.09411764705882353,18.758,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #append should append directory,16609,0.14344262295081966,10,0.3,8336.947265995666,0.17934467354870964,0,0,0,0,12,0.09411764705882353,15.968,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should append multiple entries,17129,0.8538251366120219,24,1,12873.357595995069,0.48794929032447626,0,0,0,0,89,1,16.529,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should support setting data properties via function,17118,0.8387978142076503,24,1,17672.80663599819,0.81444800273817,0,0,0,0,89,1,18.694,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should support ignoring matches via function,17117,0.837431693989071,24,1,18179.261346006766,0.8489012929669882,0,0,0,0,89,1,19.051,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should find dot files,17117,0.837431693989071,24,1,13402.951041987166,0.523976671129636,0,0,0,0,89,1,17.11,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #directory should handle windows path separators in prefix,17117,0.837431693989071,24,1,17572.12932199426,0.807599088807097,0,0,0,0,89,1,18.976,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should append multiple entries,16618,0.1557377049180328,12,0.4,12513.47019900009,0.46346673602430605,0,0,0,0,18,0.16470588235294117,17.968,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should append filepath,16621,0.1598360655737705,12,0.4,8068.007389005274,0.16104913111828031,0,0,0,0,18,0.16470588235294117,15.651,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should fallback to filepath when no name is set,16617,0.15437158469945356,12,0.4,7787.380724998191,0.14195855557438347,0,0,0,0,18,0.16470588235294117,15.83,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #file should fallback to file stats when applicable,16621,0.1598360655737705,12,0.4,8344.93943000026,0.17988836746756356,0,0,0,0,18,0.16470588235294117,16.96,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #glob should append multiple entries,16798,0.4016393442622951,16,0.6,10666.955783991143,0.33785136352451717,0,0,0,0,45,0.4823529411764706,17.452,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #promise should use a promise,16597,0.12704918032786885,8,0.2,14612.761458998546,0.6062781061749037,0,0,0,0,11,0.08235294117647059,20.555,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/archiver.js,archiver api #errors should allow continue on stat failing,16593,0.12158469945355191,9,0.25,14327.311942003667,0.5868594397860888,0,0,0,0,15,0.12941176470588237,20.252,True
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append multiple entries,16873,0.5040983606557377,23,0.95,20400.374375991523,1,0,0,0,0,55,0.6,21.031,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append buffer,16876,0.5081967213114754,23,0.95,19929.641064008698,0.9679767783819356,0,0,0,0,55,0.6,20.555,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append stream,16876,0.5081967213114754,23,0.95,19847.604913000017,0.9623959924516214,0,0,0,0,55,0.6,21.233,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append folder,16876,0.5081967213114754,23,0.95,19877.358137996867,0.9644200559577984,0,0,0,0,55,0.6,21.527,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append manual symlink,16874,0.505464480874317,23,0.95,20157.279758000746,0.9834626685048341,0,0,0,0,55,0.6,21.739,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should append via directory,16873,0.5040983606557377,23,0.95,15594.643468990922,0.6730739423912357,0,0,0,0,55,0.6,18.256,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins tar should retain symlinks via directory,16877,0.5095628415300546,23,0.95,15435.490918003023,0.6622470531917058,0,0,0,0,55,0.6,18.307,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append multiple entries,17232,0.994535519125683,11,0.35,16974.1242519971,0.7669177764848795,0,0,0,0,71,0.788235294117647,20.065,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append buffer,17233,0.9959016393442623,11,0.35,13218.283494995907,0.5114140382493414,0,0,0,0,71,0.788235294117647,17.77,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append stream,17233,0.9959016393442623,11,0.35,12479.423516998067,0.4611505956209043,0,0,0,0,71,0.788235294117647,17.167,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append via file,17233,0.9959016393442623,11,0.35,17195.739744998515,0.7819939180404613,0,0,0,0,71,0.788235294117647,19.58,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append via directory,17233,0.9959016393442623,11,0.35,19779.580253001302,0.9577683854665611,0,0,0,0,71,0.788235294117647,20.642,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should append manual symlink,17233,0.9959016393442623,11,0.35,17355.41790700145,0.7928565637024955,0,0,0,0,71,0.788235294117647,19.659,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should allow for custom unix mode,17236,1,11,0.35,19511.51872299984,0.9395325955532536,0,0,0,0,71,0.788235294117647,20.491,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should allow for entry comments,17232,0.994535519125683,11,0.35,18461.678480999544,0.8681136713400371,0,0,0,0,71,0.788235294117647,19.71,Undefined
node-archiver,/home/pedroubuntu/coisasNodeRT/datasetNodeRT/datasetDoNodeRacer/exploratory/node-archiver/test/plugins.js,plugins zip should allow for archive comment,17231,0.9931693989071039,11,0.35,18725.852264000103,0.8860849841478675,0,0,0,0,71,0.788235294117647,20.494,Undefined